read 1	read 2	sample_name	time	replicate
SRR3567551_1.fastq	SRR3567551_2.fastq	CK45-1	45	1
SRR3567552_1.fastq	SRR3567552_2.fastq	CK45-2	45	2
SRR3567554_1.fastq	SRR3567554_2.fastq	Ac45-1	45	1
SRR3567555_1.fastq	SRR3567555_2.fastq	Ac45-2	45	2
SRR3567637_1.fastq	SRR3567637_2.fastq	CK120-1	120	1
SRR3567638_1.fastq	SRR3567638_2.fastq	CK120-2	120	2
SRR3567639_1.fastq	SRR3567639_2.fastq	Ac120-1	120	1
SRR3567657_1.fastq	SRR3567657_2.fastq	Ac120-2	120	2
SRR3567674_1.fastq	SRR3567674_2.fastq	CK200-1	200	1
SRR3567676_1.fastq	SRR3567676_2.fastq	CK200-2	200	2
SRR3567677_1.fastq	SRR3567677_2.fastq	Ac200-1	200	1
SRR3567679_1.fastq	SRR3567679_2.fastq	Ac200-2	200	2
